ID_Uzorka;Dubina_Busenja_cm;Temp_Tla_C;pH_Vrijednost;H2O_Postotak;Metan_Senzor;Organske_Molekule
1;7.9;-12.2;7.18;5.23;Pozitivno;Da
3;10.7;-17.4;6.98;4.99;Pozitivno;Da
4;10.1;-25.3;6.86;4.32;Pozitivno;Da
5;9.7;-10.7;7.42;4.59;Pozitivno;Da
6;9.1;-15.1;7.02;3.86;Pozitivno;Da
7;7.1;-26.5;7.12;4.59;Pozitivno;Da
8;9.6;-20.3;6.92;5.41;Pozitivno;Da
9;9.6;-21.3;6.67;3.96;Pozitivno;Da
12;10.1;-19.0;7.03;4.97;Pozitivno;Ne
13;10.2;-20.8;7.23;4.98;Pozitivno;Ne
14;10.1;-23.7;7.16;5.39;Pozitivno;Da
15;13.0;-26.8;6.86;5.36;Pozitivno;Da
16;10.8;-17.3;7.1;4.52;Pozitivno;Ne
17;12.3;-17.7;7.32;4.93;Pozitivno;Da
18;8.7;-23.9;7.06;4.57;Pozitivno;Da
19;9.7;-27.0;6.8;5.54;Pozitivno;Da
20;6.2;-13.4;6.98;5.8;Pozitivno;Da
21;11.9;-18.9;6.78;5.13;Pozitivno;Da
22;7.8;-26.6;6.68;5.21;Pozitivno;Da
23;8.3;-22.0;6.76;5.77;Pozitivno;Da
24;8.7;-11.9;7.19;4.87;Pozitivno;Da
25;11.2;-27.5;6.98;5.21;Pozitivno;Da
26;8.5;-21.6;6.8;5.0;Pozitivno;Da
27;7.8;-26.3;6.84;5.19;Pozitivno;Ne
28;8.9;-14.3;6.71;5.17;Pozitivno;Da
29;8.5;-23.5;7.12;4.11;Pozitivno;Da
30;10.5;-10.9;7.11;4.96;Pozitivno;Ne
31;10.5;-21.9;7.14;5.42;Pozitivno;Ne
32;11.0;-22.6;6.89;4.81;Pozitivno;Ne
33;12.1;-21.1;6.88;4.97;Pozitivno;Ne
34;9.8;-19.9;6.8;5.03;Pozitivno;Da
35;12.5;-27.7;6.67;4.56;Pozitivno;Da
36;6.6;-20.2;7.09;4.61;Pozitivno;Ne
37;9.2;-25.5;7.05;5.0;Pozitivno;Da
38;11.3;-17.2;6.77;5.39;Pozitivno;Da
39;12.0;-20.0;7.22;5.34;Pozitivno;Da
41;10.4;-17.0;7.54;5.05;Pozitivno;Da
42;9.0;-20.3;7.01;4.81;Pozitivno;Da
43;7.9;-24.6;6.85;4.84;Pozitivno;Da
44;8.7;-9.9;7.01;4.58;Pozitivno;Da
45;8.0;-23.7;6.98;4.8;Pozitivno;Da
46;9.5;-26.8;6.51;4.56;Pozitivno;Da
47;8.6;-20.2;7.49;5.08;Pozitivno;Da
48;9.0;-23.0;7.16;5.24;Pozitivno;Ne
49;11.0;-16.3;6.99;5.36;Pozitivno;Da
51;9.0;-21.5;6.61;4.64;Pozitivno;Ne
52;9.3;-16.2;6.7;4.7;Pozitivno;Ne
53;10.9;-19.3;7.41;4.31;Pozitivno;Ne
54;10.7;-19.1;6.78;4.91;Pozitivno;Da
55;8.1;-14.2;7.01;5.95;Pozitivno;Ne
56;9.0;-13.6;6.64;5.76;Pozitivno;Da
57;10.1;-22.7;6.95;5.85;Pozitivno;Da
58;12.9;-20.8;6.79;4.9;Pozitivno;Da
59;12.6;-17.6;7.07;4.65;Pozitivno;Da
60;9.5;-9.3;7.39;5.33;Pozitivno;Da
61;10.9;-18.3;7.1;5.33;Pozitivno;Da
62;13.2;-11.0;6.91;5.45;Pozitivno;Ne
63;13.8;-21.2;7.26;5.55;Pozitivno;Da
64;8.3;-10.2;7.51;5.54;Pozitivno;Da
65;12.9;-21.2;6.91;5.02;Pozitivno;Da
66;7.5;-18.6;6.76;5.11;Pozitivno;Da
67;10.4;-17.2;6.83;4.49;Pozitivno;Ne
69;10.7;-23.3;7.02;5.07;Pozitivno;Da
70;13.4;-17.9;7.04;4.9;Pozitivno;Da
71;8.8;-24.4;6.88;5.66;Pozitivno;Da
72;9.7;-12.0;7.11;5.25;Pozitivno;Da
73;7.9;-26.1;7.09;4.82;Pozitivno;Da
75;10.1;-21.7;6.71;5.39;Pozitivno;Da
76;11.2;-25.0;6.95;5.0;Pozitivno;Da
77;10.6;-11.8;6.69;3.83;Pozitivno;Da
78;8.3;-17.4;6.9;4.61;Pozitivno;Da
79;8.3;-13.8;7.56;4.03;Pozitivno;Ne
80;9.8;-23.8;6.76;4.78;Pozitivno;Da
81;6.1;-19.0;7.14;4.41;Pozitivno;Da
82;10.4;-20.9;6.94;4.8;Pozitivno;Da
83;11.7;-22.0;6.91;5.17;Pozitivno;Da
84;11.5;-19.0;7.16;4.92;Pozitivno;Da
85;6.9;-26.9;6.94;5.79;Pozitivno;Da
87;12.1;-28.5;6.85;4.87;Pozitivno;Da
88;10.0;-8.9;6.94;5.56;Pozitivno;Da
89;8.7;-23.8;7.42;5.54;Pozitivno;Da
90;9.6;-12.8;7.16;5.22;Pozitivno;Da
91;9.7;-24.1;7.45;5.04;Pozitivno;Da
92;10.3;-25.7;7.27;4.96;Pozitivno;Da
93;6.7;-18.1;6.96;4.76;Pozitivno;Da
94;10.2;-17.0;6.98;4.56;Pozitivno;Da
95;9.7;-20.5;6.95;5.64;Pozitivno;Da
96;13.6;-18.8;7.06;5.71;Pozitivno;Da
97;10.0;-17.2;7.31;4.27;Pozitivno;Ne
98;8.6;-25.5;7.16;5.26;Pozitivno;Da
99;9.2;-14.7;7.37;5.87;Pozitivno;Da
100;13.7;-19.2;6.93;5.94;Pozitivno;Da
101;10.6;-20.5;6.89;3.52;Pozitivno;Ne
102;10.8;-24.7;7.14;5.67;Pozitivno;Da
103;7.9;-15.8;7.03;5.15;Pozitivno;Da
104;11.2;-14.8;7.22;4.79;Pozitivno;Da
105;7.8;-19.0;6.96;4.73;Pozitivno;Da
106;12.2;-19.9;7.17;5.34;Pozitivno;Da
107;6.6;-19.8;6.88;5.3;Pozitivno;Da
108;9.1;-24.7;7.14;4.7;Pozitivno;Da
109;9.3;-16.2;7.14;4.47;Pozitivno;Da
110;10.1;-20.3;7.05;5.13;Pozitivno;Da
112;9.4;-25.1;7.59;4.88;Pozitivno;Da
113;10.6;-21.4;6.88;4.25;Pozitivno;Da
114;9.5;-16.8;6.92;4.91;Pozitivno;Da
115;11.8;-21.4;7.06;5.94;Pozitivno;Da
116;12.1;-18.2;6.97;5.08;Pozitivno;Ne
117;9.9;-25.7;7.15;4.65;Pozitivno;Ne
118;10.1;-21.7;6.71;5.16;Pozitivno;Da
119;10.5;-24.8;7.27;6.14;Pozitivno;Da
120;13.2;-19.8;6.99;5.12;Pozitivno;Da
121;11.8;-14.8;6.82;4.52;Pozitivno;Ne
122;11.3;-20.1;7.12;5.56;Pozitivno;Da
123;14.2;-19.9;7.28;5.94;Pozitivno;Da
125;9.9;-21.7;7.29;4.99;Pozitivno;Da
126;10.0;-24.5;6.98;4.71;Pozitivno;Da
127;12.7;-18.3;7.17;4.85;Pozitivno;Ne
128;11.4;-20.9;7.1;4.45;Pozitivno;Da
129;11.5;-23.8;7.08;4.48;Pozitivno;Da
130;9.3;-16.0;7.22;5.18;Pozitivno;Da
131;10.6;-28.9;6.6;5.08;Pozitivno;Da
132;9.2;-11.8;6.95;4.96;Pozitivno;Ne
133;9.9;-20.1;6.6;5.14;Pozitivno;Da
134;5.8;-21.0;6.76;4.73;Pozitivno;Da
135;10.7;-29.3;6.86;5.02;Pozitivno;Da
136;8.6;-26.1;7.07;5.64;Pozitivno;Da
137;9.7;-7.2;6.97;5.46;Pozitivno;Da
138;9.8;-20.5;7.21;5.0;Pozitivno;Da
139;8.8;-21.7;6.95;4.19;Pozitivno;Da
141;10.3;-17.5;7.0;4.73;Pozitivno;Ne
142;10.7;-23.0;7.01;4.23;Pozitivno;Ne
143;8.8;-23.9;6.95;5.28;Pozitivno;Ne
145;12.8;-28.5;7.15;4.79;Pozitivno;Da
146;7.1;-25.9;7.13;4.2;Pozitivno;Ne
147;8.5;-27.8;7.32;5.04;Pozitivno;Da
148;9.5;-24.5;7.12;4.41;Pozitivno;Da
149;9.9;-21.2;7.01;5.87;Pozitivno;Da
150;8.0;-14.6;6.69;4.85;Pozitivno;Ne
151;12.5;-27.7;7.17;5.24;Pozitivno;Da
152;12.9;-14.9;6.72;4.33;Pozitivno;Da
153;12.0;-19.9;6.85;4.95;Pozitivno;Ne
154;11.1;-23.3;6.83;5.08;Pozitivno;Da
155;12.3;-15.6;7.19;4.49;Pozitivno;Da
156;9.7;-10.7;7.01;4.91;Pozitivno;Da
157;10.1;-11.5;7.1;6.05;Pozitivno;Da
158;11.2;-18.3;7.17;5.83;Pozitivno;Da
160;10.1;-12.6;6.5;4.53;Pozitivno;Da
161;8.6;-22.2;6.85;3.88;Pozitivno;Ne
162;11.9;-17.2;6.83;5.08;Pozitivno;Da
163;5.7;-21.6;6.65;5.39;Pozitivno;Da
164;13.5;-11.9;6.94;4.95;Pozitivno;Da
165;9.2;-16.2;7.15;5.38;Pozitivno;Da
166;8.5;-18.7;6.95;4.5;Pozitivno;Da
167;10.9;-11.3;6.83;5.32;Pozitivno;Da
168;13.1;-22.3;6.89;5.05;Pozitivno;Da
169;11.7;-18.6;7.01;5.43;Pozitivno;Da
170;14.5;-24.7;7.2;4.99;Pozitivno;Da
171;12.1;-19.0;7.39;5.26;Pozitivno;Ne
172;14.1;-19.0;6.8;4.84;Pozitivno;Da
173;13.2;-17.6;7.23;4.88;Pozitivno;Da
174;8.6;-27.5;6.97;4.57;Pozitivno;Da
175;10.2;-24.0;7.01;5.03;Pozitivno;Da
176;9.9;-23.7;7.27;5.2;Pozitivno;Ne
177;11.7;-29.3;7.01;5.88;Pozitivno;Da
178;13.1;-19.3;7.32;5.03;Pozitivno;Da
180;7.6;-19.1;6.98;4.49;Pozitivno;Da
181;11.1;-28.3;6.78;5.19;Pozitivno;Da
182;10.2;-20.5;6.97;5.41;Pozitivno;Da
184;8.8;-21.7;7.05;5.37;Pozitivno;Da
185;10.4;-15.3;6.96;4.86;Pozitivno;Da
186;11.9;-27.9;6.99;4.79;Pozitivno;Da
187;12.8;-21.9;7.03;4.43;Pozitivno;Da
188;16.0;-27.9;6.73;5.13;Pozitivno;Da
189;8.3;-17.0;7.31;5.39;Pozitivno;Da
190;6.5;-21.7;6.97;5.52;Pozitivno;Ne
191;11.3;-25.1;7.21;5.06;Pozitivno;Da
192;9.8;-22.5;6.57;4.12;Pozitivno;Da
193;13.2;-28.6;7.13;5.03;Pozitivno;Da
194;8.4;-21.9;6.95;4.84;Pozitivno;Da
195;11.9;-16.5;6.88;5.16;Pozitivno;Da
196;10.3;-17.6;6.96;5.21;Pozitivno;Da
197;10.9;-20.9;7.17;6.11;Pozitivno;Da
198;12.3;-19.2;7.04;5.25;Pozitivno;Da
199;10.6;-33.0;7.08;4.64;Pozitivno;Da
200;7.0;-27.5;7.09;4.79;Pozitivno;Ne
201;9.2;-15.7;7.01;5.16;Pozitivno;Da
202;8.1;-25.0;6.93;5.55;Pozitivno;Ne
203;12.2;-21.4;6.73;4.92;Pozitivno;Da
204;12.4;-25.8;6.77;5.2;Pozitivno;Da
205;9.7;-20.1;6.94;5.75;Pozitivno;Da
206;12.4;-25.6;6.8;5.33;Pozitivno;Da
207;11.0;-15.1;7.25;5.18;Pozitivno;Da
208;8.2;-16.4;6.88;4.36;Pozitivno;Da
209;14.5;-25.7;7.3;5.48;Pozitivno;Ne
210;9.5;-35.1;7.0;4.58;Pozitivno;Da
211;13.1;-19.3;7.17;4.09;Pozitivno;Da
212;10.4;-21.0;6.98;4.54;Pozitivno;Da
214;8.6;-18.9;7.2;4.69;Pozitivno;Da
215;9.4;-16.4;6.91;4.99;Pozitivno;Ne
216;9.5;-9.5;6.93;4.66;Pozitivno;Ne
217;10.4;-22.4;7.13;4.6;Pozitivno;Da
218;10.6;-18.4;6.92;4.93;Pozitivno;Da
219;11.6;-23.7;7.19;5.52;Pozitivno;Ne
220;7.7;-17.7;6.81;5.13;Pozitivno;Da
221;9.8;-27.6;6.63;4.68;Pozitivno;Da
222;11.6;-22.1;6.96;5.23;Pozitivno;Ne
224;10.0;-23.6;6.86;4.68;Pozitivno;Da
225;7.2;-21.1;6.83;4.71;Pozitivno;Da
226;11.6;-22.9;7.02;5.25;Pozitivno;Ne
227;9.4;-21.4;7.06;4.89;Pozitivno;Ne
228;9.7;-19.2;6.99;5.06;Pozitivno;Da
229;12.3;-13.7;6.62;5.41;Pozitivno;Da
231;13.5;-30.4;6.75;5.12;Pozitivno;Da
232;9.8;-22.4;6.66;5.05;Pozitivno;Ne
233;10.6;-14.1;6.71;5.69;Pozitivno;Da
234;9.9;-19.6;6.74;4.95;Pozitivno;Da
235;10.5;-24.3;7.07;4.78;Pozitivno;Da
236;9.8;-22.5;7.16;5.45;Pozitivno;Ne
237;11.5;-20.6;6.71;4.33;Pozitivno;Da
238;4.6;-20.0;6.73;5.38;Pozitivno;Da
239;12.8;-17.7;6.95;4.01;Pozitivno;Ne
240;10.5;-17.4;7.08;6.04;Pozitivno;Da
241;7.0;-21.8;7.32;4.46;Pozitivno;Da
242;12.5;-23.0;7.27;5.91;Pozitivno;Da
243;8.0;-18.6;7.48;4.84;Pozitivno;Da
244;8.4;-26.2;6.78;4.86;Pozitivno;Da
245;11.7;-21.8;6.8;5.5;Pozitivno;Da
246;12.1;-26.6;6.92;4.27;Pozitivno;Da
247;12.1;-24.7;6.92;5.2;Pozitivno;Da
248;8.2;-21.5;7.47;5.51;Pozitivno;Da
249;13.3;-21.4;7.02;3.93;Pozitivno;Da
250;10.2;-26.9;6.69;4.56;Pozitivno;Da
251;9.1;-22.5;6.85;3.38;Pozitivno;Da
252;18.3;-19.0;7.37;4.43;Pozitivno;Da
253;9.7;-19.3;6.63;3.92;Pozitivno;Da
254;14.6;-28.1;7.11;4.1;Pozitivno;Da
255;11.7;-14.7;7.06;2.69;Pozitivno;Ne
256;11.0;-18.9;6.94;4.11;Pozitivno;Ne
257;6.8;-17.2;7.05;4.29;Pozitivno;Da
258;10.6;-22.0;6.96;3.88;Pozitivno;Da
259;10.7;-17.4;7.38;3.79;Pozitivno;Da
260;9.7;-11.0;7.05;4.82;Pozitivno;Da
261;11.3;-23.0;7.24;3.89;Pozitivno;Da
262;18.0;-20.7;7.18;3.71;Pozitivno;Da
263;13.6;-14.1;6.64;4.71;Pozitivno;Da
264;12.7;-20.8;7.23;5.34;Pozitivno;Da
265;18.0;-27.4;7.06;3.75;Pozitivno;Da
266;7.9;-26.5;7.15;3.91;Pozitivno;Da
267;9.9;-26.1;6.85;4.62;Pozitivno;Ne
268;15.7;-21.7;7.43;3.92;Pozitivno;Da
269;10.5;-8.8;6.7;4.71;Pozitivno;Da
271;9.1;-20.7;7.11;3.82;Pozitivno;Da
272;16.2;-22.3;7.15;4.27;Pozitivno;Da
273;17.7;-16.9;6.96;4.22;Pozitivno;Da
274;12.5;-18.3;6.71;3.39;Pozitivno;Ne
275;10.5;-22.2;7.09;3.92;Pozitivno;Da
276;9.9;-26.6;6.67;4.44;Pozitivno;Ne
277;10.2;-14.4;7.07;3.75;Pozitivno;Da
278;9.4;-12.9;6.88;4.26;Pozitivno;Da
279;14.6;-15.5;7.15;4.13;Pozitivno;Da
280;11.4;-26.3;7.19;3.69;Pozitivno;Da
281;14.4;-23.2;6.99;4.24;Pozitivno;Da
282;9.0;-15.3;6.98;4.96;Pozitivno;Ne
283;16.6;-19.6;7.08;4.02;Pozitivno;Ne
284;13.8;-13.3;6.83;3.76;Pozitivno;Da
285;11.6;-23.7;6.68;4.63;Pozitivno;Da
286;10.3;-16.3;6.79;4.9;Pozitivno;Ne
287;8.3;-12.7;6.7;4.18;Pozitivno;Da
288;11.5;-20.3;7.03;4.06;Pozitivno;Da
289;14.1;-22.4;7.05;3.06;Pozitivno;Ne
290;14.9;-17.6;6.89;3.47;Pozitivno;Da
291;18.0;-21.7;6.83;3.09;Pozitivno;Da
292;7.3;-14.9;7.09;4.15;Pozitivno;Ne
293;7.6;-16.7;7.3;4.3;Pozitivno;Da
294;13.8;-14.7;6.55;4.52;Pozitivno;Da
295;11.4;-21.5;7.26;3.54;Pozitivno;Da
296;13.6;-16.5;6.71;3.49;Pozitivno;Da
297;5.2;-4.2;7.06;3.63;Pozitivno;Da
298;17.3;-21.3;6.92;4.13;Pozitivno;Da
300;11.8;-24.6;6.97;4.35;Pozitivno;Da
301;9.3;-18.4;6.95;4.93;Pozitivno;Da
302;9.8;-24.4;7.51;3.88;Pozitivno;Da
303;9.3;-22.6;7.06;3.7;Pozitivno;Da
304;9.4;-20.0;6.99;4.26;Pozitivno;Da
305;12.4;-19.7;6.72;4.08;Pozitivno;Ne
306;13.5;-35.0;6.84;3.84;Pozitivno;Ne
307;10.8;-20.9;7.06;4.36;Pozitivno;Da
308;20.1;-18.6;6.87;3.02;Pozitivno;Da
309;14.6;-28.5;6.79;3.24;Pozitivno;Da
310;12.4;-20.0;7.1;4.0;Pozitivno;Da
311;9.4;-26.8;7.31;3.87;Pozitivno;Ne
312;16.6;-14.5;6.62;4.28;Pozitivno;Da
313;12.0;-17.1;7.02;3.87;Pozitivno;Da
314;14.5;-12.8;6.94;4.24;Pozitivno;Da
316;11.3;-22.1;7.23;3.8;Pozitivno;Da
317;10.2;-22.8;6.9;3.58;Pozitivno;Da
318;12.7;-20.3;7.11;3.84;Pozitivno;Da
319;14.4;-21.2;7.17;4.22;Pozitivno;Da
320;12.0;-25.6;7.0;4.4;Pozitivno;Da
321;8.1;-18.8;7.16;3.35;Pozitivno;Da
322;15.3;-13.7;7.07;3.58;Pozitivno;Da
323;11.6;-21.0;7.19;3.81;Pozitivno;Da
324;6.8;-19.6;7.15;3.77;Pozitivno;Da
325;12.6;-19.9;7.06;4.38;Pozitivno;Da
326;14.9;-17.8;6.77;3.39;Pozitivno;Da
328;13.0;-20.0;7.21;4.2;Pozitivno;Da
329;14.2;-14.2;6.97;4.32;Pozitivno;Da
330;5.9;-20.6;6.99;4.02;Pozitivno;Da
331;11.3;-27.0;7.27;3.68;Pozitivno;Da
332;14.6;-19.4;7.09;4.34;Pozitivno;Da
333;10.9;-21.2;6.66;2.86;Pozitivno;Da
334;11.6;-18.5;7.07;4.86;Pozitivno;Da
335;10.4;-20.5;7.03;4.34;Pozitivno;Ne
336;6.6;-26.7;6.85;4.4;Pozitivno;Da
337;6.9;-19.0;7.09;3.65;Pozitivno;Ne
338;14.0;-18.9;7.1;4.48;Pozitivno;Ne
339;10.8;-17.2;6.93;3.57;Pozitivno;Da
342;13.9;-19.6;6.8;3.43;Pozitivno;Da
344;14.0;-11.8;6.83;3.76;Pozitivno;Da
345;12.0;-21.0;6.77;5.14;Pozitivno;Da
346;15.9;-12.0;6.94;4.22;Pozitivno;Da
347;11.7;-30.7;7.17;3.38;Pozitivno;Da
348;18.1;-20.4;7.04;3.95;Pozitivno;Da
349;12.4;-21.7;6.94;3.81;Pozitivno;Da
350;7.8;-12.1;7.16;3.99;Pozitivno;Da
351;12.1;-23.1;6.84;3.24;Pozitivno;Da
353;10.2;-24.9;7.0;3.26;Pozitivno;Ne
354;11.4;-19.5;7.17;3.41;Pozitivno;Da
355;8.3;-21.4;6.96;5.42;Pozitivno;Da
356;13.6;-18.0;6.74;2.93;Pozitivno;Da
357;9.0;-14.4;7.28;4.49;Pozitivno;Da
358;14.1;-18.0;6.83;4.04;Pozitivno;Da
359;12.9;-11.1;7.39;3.77;Pozitivno;Ne
360;11.9;-16.6;6.77;4.21;Pozitivno;Da
361;14.6;-29.2;6.99;3.58;Pozitivno;Da
362;11.4;-24.9;6.84;4.61;Pozitivno;Da
364;10.1;-20.6;7.06;3.49;Pozitivno;Da
365;16.0;-19.9;6.98;3.84;Pozitivno;Ne
366;11.5;-16.1;6.76;3.77;Pozitivno;Da
367;11.1;-18.6;7.23;3.97;Pozitivno;Da
368;12.3;-15.4;6.99;3.52;Pozitivno;Da
369;13.3;-28.5;6.97;3.37;Pozitivno;Da
370;15.0;-20.6;6.66;3.97;Pozitivno;Da
371;13.0;-16.7;6.9;3.1;Pozitivno;Da
374;21.1;-23.1;6.92;3.46;Pozitivno;Da
376;17.5;-22.0;6.8;4.5;Pozitivno;Da
377;10.1;-22.6;7.1;3.13;Pozitivno;Da
379;12.1;-21.8;7.07;4.07;Pozitivno;Da
